S.No,Player,Nation,Pos,Squad,Comp,Age,Born,Matches,Min,Goals,Assist,G+A,CrdY,CrdR,FK,Tkl%,Lost,Pass
867,Abde Ezzalzouli,ma MAR,"FW,MF",Betis,es La Liga,22,2001,32,1984,2,2,4,2,0,1,55.6,12,19
868,Giovanni Fabbian,it ITA,MF,Bologna,it Serie A,21,2003,30,1023,3,1,4,2,0,0,53.8,6,5
869,Łukasz Fabiański,pl POL,GK,West Ham,eng Premier League,39,1985,14,1160,0,0,0,2,0,0,0,1,0
870,Alieu Fadera,gm GAM,"FW,DF",Como,it Serie A,22,2001,28,1644,1,3,4,2,1,0,44.4,25,17
871,Wout Faes,be BEL,DF,Leicester City,eng Premier League,26,1998,34,2815,1,0,1,4,0,0,52.1,23,13
872,Nicolò Fagioli,it ITA,MF,Fiorentina,it Serie A,23,2001,15,962,1,2,3,0,0,1,40.9,13,9
873,Nicolò Fagioli,it ITA,MF,Juventus,it Serie A,23,2001,17,571,0,0,0,4,0,0,66.7,3,4
874,Romain Faivre,fr FRA,"MF,FW",Brest,fr Ligue 1,26,1998,20,899,3,2,5,2,0,0,50,5,8
875,Wladimiro Falcone,it ITA,GK,Lecce,it Serie A,29,1995,38,3420,0,0,0,2,0,0,,0,0
876,Davide Faraoni,it ITA,DF,Hellas Verona,it Serie A,32,1991,8,260,0,0,0,1,0,0,33.3,6,4
877,Abdul Fatawu Issahaku,gh GHA,FW,Leicester City,eng Premier League,20,2004,11,579,0,2,2,0,0,0,57.9,8,7
878,Ansu Fati,es ESP,FW,Barcelona,es La Liga,21,2002,6,233,0,0,0,1,0,0,50,1,1
879,Khalil Fayad,fr FRA,"MF,FW",Montpellier,fr Ligue 1,20,2004,20,1028,0,0,0,5,0,1,53.6,13,17
880,Jacopo Fazzini,it ITA,MF,Empoli,it Serie A,21,2003,20,1383,4,1,5,1,1,2,56.5,10,12
881,Nabil Fekir,fr FRA,MF,Betis,es La Liga,31,1993,2,180,0,1,1,0,0,0,50,1,2
882,Mattia Felici,it ITA,"MF,FW",Cagliari,it Serie A,23,2001,20,925,0,3,3,1,0,0,36.4,7,10
883,Luiz Felipe,it ITA,DF,Marseille,fr Ligue 1,27,1997,4,122,0,0,0,1,0,0,50,1,1
884,João Félix,pt POR,"FW,MF",Chelsea,eng Premier League,24,1999,12,369,1,1,2,2,0,0,55.6,4,2
885,João Félix,pt POR,MF,Milan,it Serie A,24,1999,15,760,2,0,2,3,0,1,28.6,10,2
886,Frank Feller,de GER,GK,Heidenheim,de Bundesliga,20,2004,2,121,0,0,0,0,0,0,,0,0
887,Kiko Femenía,es ESP,DF,Villarreal,es La Liga,33,1991,28,2227,0,1,1,7,0,0,57.9,24,11
888,Evan Ferguson,ie IRL,FW,West Ham,eng Premier League,19,2004,8,156,0,0,0,0,0,0,,0,1
889,Evan Ferguson,ie IRL,FW,Brighton,eng Premier League,19,2004,13,246,1,0,1,0,0,1,40,3,2
890,Lewis Ferguson,sct SCO,MF,Bologna,it Serie A,24,1999,16,983,1,1,2,0,0,0,56.3,7,7
891,Zinedine Ferhat,dz ALG,"FW,MF",Angers,fr Ligue 1,31,1993,24,849,2,0,2,1,0,2,30.8,9,9
892,Bruno Fernandes,pt POR,MF,Manchester Utd,eng Premier League,29,1994,36,3018,8,10,18,5,2,12,40,51,29
893,Edimilson Fernandes,ch SUI,"MF,DF",Brest,fr Ligue 1,28,1996,19,1105,0,1,1,1,0,0,53.8,6,8
894,Mateus Fernandes,pt POR,MF,Southampton,eng Premier League,20,2004,36,2909,2,4,6,8,0,4,45.8,39,35
895,Aitor Fernández,es ESP,GK,Osasuna,es La Liga,33,1991,1,90,0,0,0,0,0,0,,0,0
896,Álvaro Fernández,es ESP,GK,Sevilla,es La Liga,26,1998,9,747,0,0,0,2,0,0,0,1,0
897,Enzo Fernández,ar ARG,MF,Chelsea,eng Premier League,23,2001,36,2947,6,7,13,8,0,2,36.9,53,36
898,Pelayo Fernandez,es ESP,DF,Rayo Vallecano,es La Liga,21,2003,2,98,0,0,0,1,0,0,,0,0
899,Roberto Férnandez,es ESP,FW,Espanyol,es La Liga,22,2002,19,1497,6,0,6,1,0,0,0,5,8
900,Valery Fernández,es ESP,"MF,FW",Mallorca,es La Liga,24,1999,18,309,2,0,2,1,0,0,71.4,2,2
901,Matias Fernandez-Pardo,be BEL,"FW,MF",Lille,fr Ligue 1,19,2005,22,1065,4,2,6,4,0,0,50,6,9
902,André Ferreira,pt POR,GK,Valladolid,es La Liga,28,1996,6,540,0,0,0,0,0,0,,0,0
903,Jordan Ferri,fr FRA,MF,Montpellier,fr Ligue 1,32,1992,25,1773,0,2,2,6,1,0,40.9,26,17
904,Daniel Fila,cz CZE,FW,Venezia,it Serie A,21,2002,10,492,2,0,2,3,1,0,0,2,6
905,Karol Fila,pl POL,MF,Strasbourg,fr Ligue 1,26,1998,1,5,0,0,0,1,0,0,,0,0
906,Kilian Fischer,de GER,DF,Wolfsburg,de Bundesliga,23,2000,32,2297,1,0,1,7,0,0,52.8,42,33
907,Mark Flekken,nl NED,GK,Brentford,eng Premier League,31,1993,37,3275,0,2,2,1,0,0,33.3,6,2
908,Alessandro Florenzi,it ITA,FW,Milan,it Serie A,33,1991,1,5,0,0,0,0,0,0,,0,0
909,Mateo Flores,es ESP,MF,Betis,es La Liga,20,2004,6,153,0,0,0,1,0,0,100,0,1
910,Phil Foden,eng ENG,"MF,FW",Manchester City,eng Premier League,24,2000,28,1777,7,2,9,2,0,2,38.9,11,12
911,Malick Fofana,be BEL,FW,Lyon,fr Ligue 1,19,2005,29,1589,5,4,9,2,0,0,47.1,9,12
912,Rayan Fofana,fr FRA,"FW,MF",Lens,fr Ligue 1,18,2006,2,25,0,0,0,0,0,0,,0,0
913,Seko Fofana,ci CIV,MF,Rennes,fr Ligue 1,29,1995,16,844,1,1,2,3,0,0,28.6,5,6
914,Wesley Fofana,fr FRA,DF,Chelsea,eng Premier League,23,2000,14,1172,0,0,0,7,0,0,42.9,8,5
915,Yahia Fofana,ci CIV,GK,Angers,fr Ligue 1,23,2000,33,2970,0,0,0,4,0,0,0,2,0
916,Youssouf Fofana,fr FRA,MF,Milan,it Serie A,25,1999,35,2504,1,6,7,5,0,0,50,26,23
917,Jonas Föhrenbach,de GER,DF,Heidenheim,de Bundesliga,28,1996,27,1832,0,1,1,3,0,0,62.9,13,26
918,Michael Folorunsho,it ITA,"FW,MF",Fiorentina,it Serie A,26,1998,14,650,0,0,0,5,0,0,40,12,8
919,Michael Folorunsho,it ITA,"FW,MF",Napoli,it Serie A,26,1998,6,35,0,0,0,0,0,0,50,2,0
920,Lamine Fomba,fr FRA,MF,Saint-Étienne,fr Ligue 1,26,1998,7,217,0,0,0,2,0,0,28.6,5,6
921,Carlos Forbs,pt POR,"MF,FW",Wolves,eng Premier League,20,2004,10,239,0,0,0,2,0,0,66.7,2,3
922,Pablo Fornals,es ESP,"MF,FW",Betis,es La Liga,28,1996,26,1827,2,0,2,2,0,0,33.3,20,20
923,Omari Forson,eng ENG,"MF,FW",Monza,it Serie A,20,2004,9,223,0,0,0,0,0,0,33.3,2,3
924,Fraser Forster,eng ENG,GK,Tottenham,eng Premier League,36,1988,7,630,0,0,0,0,0,0,0,1,0
925,Héctor Fort,es ESP,DF,Barcelona,es La Liga,17,2006,17,585,0,0,0,2,0,0,62.5,6,12
926,Dimitri Foulquier,fr FRA,DF,Valencia,es La Liga,31,1993,32,2299,0,1,1,6,0,0,66.7,12,16
927,Juan Foyth,ar ARG,DF,Villarreal,es La Liga,26,1998,19,1517,1,0,1,4,0,0,68.8,5,9
928,Fran,es ESP,GK,Real Madrid,es La Liga,19,2005,1,90,0,0,0,0,0,0,,0,0
929,Matheus França,br BRA,"MF,FW",Crystal Palace,eng Premier League,20,2004,4,55,1,0,1,0,0,0,,0,0
930,Alejandro Francés,es ESP,DF,Girona,es La Liga,21,2002,18,1173,0,0,0,2,0,0,70,12,9
931,Przemysław Frankowski,pl POL,DF,Lens,fr Ligue 1,29,1995,18,1387,4,2,6,3,0,1,63.3,11,8
932,Enric Franquesa,es ESP,"DF,FW",Leganés,es La Liga,27,1997,12,616,1,0,1,1,0,0,69.2,4,6
933,Ryan Fraser,sct SCO,"FW,DF",Southampton,eng Premier League,30,1994,8,306,0,0,0,0,1,0,66.7,2,0
934,Davide Frattesi,it ITA,MF,Inter,it Serie A,24,1999,27,1158,5,1,6,1,0,0,55.6,8,8
935,Tyler Fredricson,eng ENG,DF,Manchester Utd,eng Premier League,19,2005,2,165,0,0,0,0,0,0,50,1,2
936,Morten Frendrup,dk DEN,MF,Genoa,it Serie A,23,2001,35,3103,2,0,2,5,0,0,43.6,44,46
937,Martin Frese,dk DEN,DF,Hellas Verona,it Serie A,26,1998,11,549,0,0,0,0,0,0,53.8,6,4
938,Remo Freuler,ch SUI,MF,Bologna,it Serie A,32,1992,37,3204,1,2,3,6,0,0,41.8,46,34
939,Marco Friedl,at AUT,DF,Werder Bremen,de Bundesliga,26,1998,26,2161,0,0,0,10,2,0,57.6,28,17
940,Marvin Friedrich,de GER,DF,Gladbach,de Bundesliga,28,1995,22,989,0,1,1,0,0,0,56.3,7,4
941,Jeremie Frimpong,nl NED,"DF,MF",Leverkusen,de Bundesliga,23,2000,33,2314,5,5,10,4,0,0,55.2,13,25
942,Jorge de Frutos,es ESP,"FW,MF",Rayo Vallecano,es La Liga,27,1997,36,2495,6,3,9,3,1,0,30.4,32,22
943,Darío Fuentes,es ESP,DF,Sevilla,es La Liga,21,2003,1,5,0,0,0,1,0,0,,0,0
944,Chris Führich,de GER,"MF,FW",Stuttgart,de Bundesliga,26,1998,33,1981,2,3,5,1,0,2,48.1,14,21
945,Shiō Fukuda,jp JPN,FW,Gladbach,de Bundesliga,20,2004,6,60,1,0,1,0,0,0,,0,1
946,Angelo Fulgini,fr FRA,"MF,FW",Lens,fr Ligue 1,27,1996,23,1045,1,1,2,3,0,2,37.5,10,10
947,Niclas Füllkrug,de GER,FW,West Ham,eng Premier League,31,1993,18,790,3,2,5,2,0,0,75,1,1
948,Kyogo Furuhashi,jp JPN,FW,Rennes,fr Ligue 1,29,1995,6,123,0,0,0,0,0,0,100,0,0
949,Manuel Fuster,es ESP,"FW,MF",Las Palmas,es La Liga,26,1997,28,1003,2,1,3,2,0,0,53.6,13,10
950,Matteo Gabbia,it ITA,DF,Milan,it Serie A,24,1999,26,2152,2,0,2,4,0,0,80,2,6
951,Tommaso Gabellini,it ITA,FW,Torino,it Serie A,17,2006,1,10,0,0,0,0,0,0,,0,0
