S.No,Player,Nation,Pos,Squad,Comp,Age,Born,Matches,Min,Goals,Assist,G+A,CrdY,CrdR,FK,Tkl%,Lost,Pass
1498,Pol Lirola,es ESP,DF,Marseille,fr Ligue 1,26,1997,19,680,1,2,3,1,1,0,38.5,8,5
1499,Dailon Livramento,cv CPV,"FW,MF",Hellas Verona,it Serie A,23,2001,29,940,1,1,2,2,1,0,53.8,6,8
1500,Valentino Livramento,eng ENG,DF,Newcastle Utd,eng Premier League,21,2002,37,2840,0,1,1,1,0,0,54.2,27,26
1501,Marin Ljubicic,hr CRO,"FW,MF",Union Berlin,de Bundesliga,22,2002,13,281,1,1,2,1,0,0,33.3,2,2
1502,Javier Llabrés,es ESP,FW,Mallorca,es La Liga,21,2002,1,57,0,0,0,0,0,0,,0,1
1503,Diego Llorente,es ESP,DF,Betis,es La Liga,30,1993,30,2519,2,0,2,4,0,0,65.8,13,9
1504,Marcos Llorente,es ESP,"DF,MF",Atlético Madrid,es La Liga,29,1995,33,2513,2,4,6,0,1,0,65.5,19,25
1505,Gautier Lloris,fr FRA,DF,Le Havre,fr Ligue 1,29,1995,31,2768,2,1,3,5,0,0,71.7,15,12
1506,Giovani Lo Celso,ar ARG,"MF,FW",Betis,es La Liga,28,1996,25,1457,8,3,11,4,0,4,68,8,12
1507,Stanislav Lobotka,sk SVK,MF,Napoli,it Serie A,29,1994,32,2636,0,1,1,3,0,0,61.3,12,18
1508,Manuel Locatelli,it ITA,MF,Juventus,it Serie A,26,1998,36,2822,2,2,4,9,0,0,57.1,24,38
1509,Bradley Locko,fr FRA,DF,Brest,fr Ligue 1,22,2002,2,97,0,0,0,1,0,0,100,0,1
1510,Ruben Loftus-Cheek,eng ENG,MF,Milan,it Serie A,28,1996,19,1037,0,0,0,3,0,0,50,6,3
1511,Elysée Logbo,fr FRA,FW,Le Havre,fr Ligue 1,20,2004,1,27,0,0,0,0,0,0,,0,0
1512,Enzo Loiodice,fr FRA,MF,Las Palmas,es La Liga,23,2000,17,684,0,0,0,3,0,0,30,7,3
1513,Sean Longstaff,eng ENG,MF,Newcastle Utd,eng Premier League,26,1997,25,798,0,0,0,2,0,0,66.7,9,12
1514,Ademola Lookman,ng NGA,"MF,FW",Atalanta,it Serie A,26,1997,31,2247,15,5,20,4,0,0,57.9,8,19
1515,Anthony Lopes,pt POR,GK,Nantes,fr Ligue 1,33,1990,18,1563,0,0,0,2,0,0,100,0,0
1516,David López,es ESP,DF,Mallorca,es La Liga,21,2003,2,169,0,0,0,0,0,0,100,0,0
1517,David López,es ESP,DF,Girona,es La Liga,34,1989,29,2429,1,1,2,4,0,0,58.1,13,10
1518,Diego López,es ESP,"MF,FW",Valencia,es La Liga,22,2002,38,2737,8,5,13,3,0,0,34,31,30
1519,Fer López,,"FW,MF",Celta Vigo,es La Liga,,,17,671,2,0,2,2,0,0,15.4,11,10
1520,Fermin López,es ESP,"MF,FW",Barcelona,es La Liga,21,2003,28,1252,6,5,11,4,1,0,25,24,11
1521,Javi López,es ESP,DF,Real Sociedad,es La Liga,22,2002,29,1936,0,0,0,4,0,0,62.2,14,14
1522,Pau López,es ESP,GK,Girona,es La Liga,29,1994,1,45,0,0,0,0,0,0,,0,0
1523,Roberto López,es ESP,MF,Leganés,es La Liga,24,2000,13,396,0,1,1,0,0,0,33.3,10,5
1524,Unai López,es ESP,MF,Rayo Vallecano,es La Liga,28,1995,32,1707,3,1,4,9,1,1,47.2,19,12
1525,Iker Losada,es ESP,"FW,MF",Celta Vigo,es La Liga,22,2001,12,358,1,0,1,2,0,0,20,4,3
1526,Iker Losada,es ESP,"MF,FW",Betis,es La Liga,22,2001,10,336,0,0,0,0,0,0,50,5,2
1527,Anthony Losilla,fr FRA,MF,Bochum,de Bundesliga,38,1986,21,1137,0,0,0,1,0,0,51.5,16,15
1528,Jordan Lotomba,ch SUI,"MF,DF",Nice,fr Ligue 1,25,1998,2,35,0,0,0,0,0,0,,0,0
1529,Tom Louchet,fr FRA,"DF,MF",Nice,fr Ligue 1,21,2003,22,775,1,0,1,1,0,1,73.9,6,8
1530,Sandi Lovrić,si SVN,MF,Udinese,it Serie A,26,1998,36,2308,2,3,5,5,0,5,50,22,28
1531,Pol Lozano,es ESP,MF,Espanyol,es La Liga,24,1999,30,1943,0,1,1,12,0,0,43.1,33,26
1532,Lorenzo Lucca,it ITA,FW,Udinese,it Serie A,23,2000,33,2353,12,1,13,10,0,0,45.5,6,17
1533,Jhon Lucumí,co COL,DF,Bologna,it Serie A,26,1998,32,2614,0,1,1,8,1,0,70.7,12,18
1534,Yannik Lührs,de GER,DF,Dortmund,de Bundesliga,20,2003,3,127,0,0,0,0,0,0,,0,0
1535,José Luis Gayà,es ESP,DF,Valencia,es La Liga,29,1995,23,1803,0,1,1,7,0,0,69,18,14
1536,José Luis Palomino,ar ARG,DF,Cagliari,it Serie A,34,1990,18,1081,1,0,1,3,0,0,71.4,6,10
1537,Douglas Luiz,br BRA,MF,Juventus,it Serie A,26,1998,19,529,0,0,0,2,0,0,66.7,3,3
1538,Romelu Lukaku,be BEL,FW,Napoli,it Serie A,31,1993,36,2843,14,10,24,4,0,1,25,3,5
1539,Castello Lukeba,fr FRA,DF,RB Leipzig,de Bundesliga,21,2002,23,1577,0,0,0,2,0,0,70.8,7,17
1540,Dodi Lukebakio,be BEL,FW,Sevilla,es La Liga,26,1997,38,3092,11,2,13,3,1,2,55.6,12,17
1541,Saša Lukić,rs SRB,MF,Fulham,eng Premier League,27,1996,30,2344,0,2,2,12,0,0,41.8,32,13
1542,Milos Lukovic,rs SRB,"FW,MF",Strasbourg,fr Ligue 1,18,2005,2,12,0,0,0,0,0,0,,0,0
1543,Joe Lumley,eng ENG,GK,Southampton,eng Premier League,29,1995,3,270,0,0,0,0,0,0,,0,0
1544,Daniel Luna,co COL,MF,Mallorca,es La Liga,21,2003,2,20,0,0,0,0,0,0,,0,1
1545,Andriy Lunin,ua UKR,GK,Real Madrid,es La Liga,25,1999,7,630,0,1,1,0,0,0,,0,0
1546,Massimo Luongo,au AUS,MF,Ipswich Town,eng Premier League,31,1992,11,201,0,0,0,0,0,0,62.5,3,2
1547,Sebastiano Luperto,it ITA,DF,Cagliari,it Serie A,27,1996,36,3240,1,3,4,4,0,0,64.3,10,15
1548,Zito Luvumbo,ao ANG,"FW,MF",Cagliari,it Serie A,22,2002,26,1606,2,2,4,2,0,0,31.6,13,5
1549,Charalambos Lykogiannis,gr GRE,DF,Bologna,it Serie A,30,1993,17,1048,0,4,4,3,0,2,50,10,5
1550,Senne Lynen,be BEL,MF,Werder Bremen,de Bundesliga,25,1999,32,2733,0,1,1,9,0,0,56.5,30,43
1551,Mathias Løvik,no NOR,"DF,FW",Parma,it Serie A,20,2003,6,92,0,0,0,0,0,0,33.3,2,0
1552,Othmane Maamma,ma MAR,"FW,MF",Montpellier,fr Ligue 1,18,2005,12,361,1,1,2,1,0,0,25,3,4
1553,Ian Maatsen,nl NED,DF,Aston Villa,eng Premier League,22,2002,29,1139,1,2,3,2,0,0,70.8,7,13
1554,Alexis Mac Allister,ar ARG,MF,Liverpool,eng Premier League,25,1998,35,2599,5,5,10,6,0,1,52.9,49,55
1555,Deiver Machado,co COL,"DF,MF",Lens,fr Ligue 1,30,1993,27,1805,1,4,5,7,2,1,56.7,13,16
1556,Lanroy Machine,fr FRA,FW,Angers,fr Ligue 1,18,2005,2,8,0,0,0,0,0,0,,0,0
1557,Shuto Machino,jp JPN,"FW,MF",Holstein Kiel,de Bundesliga,24,1999,32,1953,11,2,13,2,0,4,37.5,10,9
1558,Darwin Machís,ve VEN,"MF,FW",Valladolid,es La Liga,31,1993,18,639,0,1,1,0,0,1,33.3,6,3
1559,Yvann Macon,fr FRA,DF,Saint-Étienne,fr Ligue 1,25,1998,12,790,0,0,0,4,0,0,47.6,11,10
1560,James Maddison,eng ENG,MF,Tottenham,eng Premier League,27,1996,31,1809,9,7,16,6,0,6,31,20,11
1561,Eros Maddy,nl NED,DF,Auxerre,fr Ligue 1,23,2001,2,15,0,0,0,1,0,0,,0,0
1562,Noni Madueke,eng ENG,FW,Chelsea,eng Premier League,22,2002,32,2033,7,3,10,3,0,0,36.8,24,17
1563,Pablo Maffeo,es ESP,DF,Mallorca,es La Liga,27,1997,30,2368,0,2,2,7,0,0,73.9,12,21
1564,Gabriel Magalhães,br BRA,DF,Arsenal,eng Premier League,26,1997,28,2363,3,1,4,4,0,0,75,4,13
1565,Soungoutou Magassa,fr FRA,MF,Monaco,fr Ligue 1,20,2003,21,1025,0,1,1,5,1,0,54.3,21,13
1566,Edmond-Paris Maghoma,eng ENG,"MF,FW",Brentford,eng Premier League,23,2001,8,119,0,0,0,0,0,0,33.3,2,0
1567,Giangiacomo Magnani,it ITA,DF,Hellas Verona,it Serie A,28,1995,17,1065,1,0,1,2,0,0,100,0,7
1568,Hugo Magnetti,fr FRA,MF,Brest,fr Ligue 1,26,1998,32,2323,1,0,1,5,0,0,45.1,28,17
1569,Frank Magri,cm CMR,"FW,MF",Toulouse,fr Ligue 1,24,1999,31,1516,5,1,6,5,1,0,37.5,5,14
1570,Harry Maguire,eng ENG,DF,Manchester Utd,eng Premier League,31,1993,27,1758,1,0,1,7,0,0,73.9,6,3
1571,Jon Magunazelaia,es ESP,MF,Real Sociedad,es La Liga,23,2001,2,7,0,0,0,0,0,0,,0,0
1572,Arne Maier,de GER,MF,Augsburg,de Bundesliga,25,1999,28,938,0,0,0,0,1,3,53.8,6,14
1573,Mike Maignan,fr FRA,GK,Milan,it Serie A,29,1995,37,3294,0,0,0,1,0,0,0,1,1
1574,Patrick Mainka,de GER,DF,Heidenheim,de Bundesliga,29,1994,34,3060,1,1,2,3,0,0,63.6,20,25
1575,Kobbie Mainoo,eng ENG,MF,Manchester Utd,eng Premier League,19,2005,25,1651,0,0,0,5,0,0,60,16,14
1576,Ainsley Maitland-Niles,eng ENG,DF,Lyon,fr Ligue 1,26,1997,32,1985,1,4,5,1,0,0,63.2,28,24
1577,Radosław Majecki,pl POL,GK,Monaco,fr Ligue 1,24,1999,15,1350,0,0,0,1,0,0,0,2,0
1578,Lovro Majer,hr CRO,MF,Wolfsburg,de Bundesliga,26,1998,9,304,2,1,3,1,0,0,20,4,4
1579,Hamidou Makalou,ml MLI,"FW,MF",Brest,fr Ligue 1,18,2006,4,32,0,0,0,0,0,0,,0,0
1580,Jordy Makengo,fr FRA,DF,Freiburg,de Bundesliga,22,2001,19,745,0,0,0,1,0,0,62.5,6,5
1581,Antoine Makoumbou,cg CGO,MF,Cagliari,it Serie A,26,1998,33,2150,0,3,3,4,1,0,76,6,21
1582,Nikola Maksimović,rs SRB,DF,Montpellier,fr Ligue 1,32,1991,7,581,0,0,0,2,0,0,85.7,1,1
1583,Tyrell Malacia,nl NED,DF,Manchester Utd,eng Premier League,24,1999,3,100,0,0,0,1,0,0,50,1,0
1584,Jarzinho Malanga,de GER,DF,Stuttgart,de Bundesliga,18,2006,1,2,0,0,0,0,0,0,,0,0
1585,Julián Malatini,ar ARG,DF,Werder Bremen,de Bundesliga,23,2001,10,454,1,1,2,1,0,0,45.5,6,5
1586,Daniel Maldini,it ITA,"MF,FW",Monza,it Serie A,22,2001,20,1306,3,0,3,5,0,5,46.2,7,6
1587,Daniel Maldini,it ITA,"FW,MF",Atalanta,it Serie A,22,2001,10,258,3,0,3,0,0,0,50,1,1
1588,Youssef Maleh,ma MAR,MF,Empoli,it Serie A,25,1998,22,1510,0,1,1,5,1,0,50,17,19
1589,Donyell Malen,nl NED,FW,Aston Villa,eng Premier League,25,1999,14,305,3,0,3,0,0,0,25,3,2
1590,Donyell Malen,nl NED,"FW,MF",Dortmund,de Bundesliga,25,1999,14,614,3,0,3,1,0,0,0,2,2
1591,Ruslan Malinovskyi,ua UKR,"MF,FW",Genoa,it Serie A,31,1993,9,383,0,2,2,2,0,3,50,3,2
1592,Lennard Maloney,us USA,MF,Heidenheim,de Bundesliga,24,1999,11,760,0,0,0,1,0,0,60.9,9,7
1593,Lennard Maloney,us USA,MF,Mainz 05,de Bundesliga,24,1999,5,26,0,0,0,1,0,0,100,0,2
1594,Aaron Malouda,fr FRA,FW,Lille,fr Ligue 1,18,2005,1,2,0,0,0,0,0,0,,0,0
1595,Giorgi Mamardashvili,ge GEO,GK,Valencia,es La Liga,23,2000,34,3060,0,0,0,2,0,0,66.7,1,0
1596,Dennis Man,ro ROU,"FW,MF",Parma,it Serie A,25,1998,33,1995,4,4,8,0,0,0,25,18,12
1597,Hianga Mananga Mbock,fr FRA,MF,Brest,fr Ligue 1,24,1999,1,21,0,0,0,0,0,0,,0,0
1598,Gianluca Mancini,it ITA,DF,Roma,it Serie A,28,1996,37,3143,2,0,2,8,0,0,58.8,14,6
1599,Steve Mandanda,fr FRA,GK,Rennes,fr Ligue 1,39,1985,18,1486,0,0,0,0,0,0,0,1,0
1600,Christos Mandas,gr GRE,GK,Lazio,it Serie A,22,2001,9,810,0,0,0,0,0,0,,0,0
1601,Reinildo Mandava,mz MOZ,DF,Atlético Madrid,es La Liga,30,1994,19,941,0,0,0,4,0,0,55.6,8,6
1602,Aïssa Mandi,dz ALG,DF,Lille,fr Ligue 1,32,1991,24,1733,0,0,0,3,0,0,72.7,6,12
1603,Rolando Mandragora,it ITA,MF,Fiorentina,it Serie A,27,1997,28,1856,4,2,6,7,0,6,45.2,17,15
1604,Mateus Mane,,MF,Wolves,eng Premier League,,,1,2,0,0,0,0,0,0,,0,1
1605,Orel Mangala,be BEL,MF,Everton,eng Premier League,26,1998,19,1261,1,0,1,2,0,0,62.5,3,5
1606,Orel Mangala,be BEL,MF,Lyon,fr Ligue 1,26,1998,1,67,0,0,0,0,0,0,0,1,2
1607,Ryan Manning,ie IRL,"DF,MF",Southampton,eng Premier League,28,1996,24,1462,0,1,1,2,0,1,53.8,12,9
1608,Javier Manquillo,es ESP,DF,Celta Vigo,es La Liga,30,1994,10,515,0,0,0,1,0,0,20,8,2
1609,Johan Manzambi,ch SUI,"FW,MF",Freiburg,de Bundesliga,18,2005,11,335,2,1,3,2,0,0,25,3,6
1610,Alberto Manzoni,it ITA,MF,Atalanta,it Serie A,19,2005,1,6,0,0,0,0,0,0,,0,0
1611,Sekou Mara,fr FRA,"FW,MF",Strasbourg,fr Ligue 1,22,2002,25,768,1,1,2,2,0,0,33.3,6,11
1612,Alessandro Marcandalli,it ITA,DF,Genoa,it Serie A,21,2002,2,46,0,0,0,0,0,0,,0,0
1613,Alessandro Marcandalli,it ITA,DF,Venezia,it Serie A,21,2002,8,354,0,0,0,2,0,0,50,3,3
1614,Marcão,br BRA,DF,Sevilla,es La Liga,28,1996,12,552,0,0,0,6,1,0,60,2,3
1615,Solly March,eng ENG,"FW,MF",Brighton,eng Premier League,30,1994,8,168,0,0,0,2,0,0,62.5,3,3
1616,Filip Marchwiński,pl POL,MF,Lecce,it Serie A,22,2002,1,15,0,0,0,0,0,0,,0,0
1617,Óscar de Marcos,es ESP,DF,Athletic Club,es La Liga,35,1989,26,1564,0,4,4,0,0,0,56.8,16,16
1618,Alberto Marí,es ESP,FW,Valencia,es La Liga,23,2001,1,7,0,0,0,0,0,0,,0,0
1619,Pablo Marí,es ESP,DF,Monza,it Serie A,30,1993,19,1628,0,0,0,4,1,0,52.4,10,3
1620,Pablo Marí,es ESP,DF,Fiorentina,it Serie A,30,1993,13,1098,0,0,0,2,0,0,54.5,5,5
1621,José María Giménez,uy URU,DF,Atlético Madrid,es La Liga,29,1995,27,1999,0,1,1,5,0,0,60.7,11,10
1622,Luca Marianucci,it ITA,DF,Empoli,it Serie A,20,2004,18,1069,0,0,0,0,1,0,57.9,8,8
1623,Mirko Marić,hr CRO,"FW,MF",Monza,it Serie A,29,1995,8,106,0,0,0,0,0,0,50,1,0
1624,Mirko Marić,hr CRO,FW,Venezia,it Serie A,29,1995,10,356,0,0,0,0,0,0,40,3,2
1625,Arkaitz Mariezkurrena,es ESP,"FW,MF",Real Sociedad,es La Liga,19,2005,9,241,2,0,2,1,0,0,0,4,3
1626,Rafa Marín,es ESP,DF,Napoli,it Serie A,22,2002,4,142,0,0,0,1,0,0,50,1,0
1627,Pablo Marín,es ESP,MF,Real Sociedad,es La Liga,21,2003,23,1239,1,2,3,3,0,0,52.6,9,9
1628,Răzvan Marin,ro ROU,MF,Cagliari,it Serie A,28,1996,33,1406,3,2,5,4,0,2,52,12,7
1629,Guillermo Maripán,cl CHI,DF,Torino,it Serie A,30,1994,28,2340,1,1,2,4,1,0,63.6,12,14
1630,Mika Mármol,es ESP,DF,Las Palmas,es La Liga,23,2001,30,2399,0,1,1,5,0,0,65.4,18,32
1631,Omar Marmoush,eg EGY,"FW,MF",Manchester City,eng Premier League,25,1999,16,1175,7,0,7,0,0,7,50,8,14
1632,Omar Marmoush,eg EGY,FW,Eint Frankfurt,de Bundesliga,25,1999,17,1448,15,9,24,2,0,6,42.9,4,6
1633,Mario Maroto,es ESP,MF,Valladolid,es La Liga,20,2003,2,64,0,1,1,0,0,0,0,2,0
1634,Marquinhos,br BRA,DF,Paris S-G,fr Ligue 1,30,1994,22,1725,2,0,2,3,0,0,75.8,8,12
1635,Unai Marrero,es ESP,GK,Real Sociedad,es La Liga,22,2001,2,180,0,0,0,0,0,0,,0,0
1636,Ange Martial Tia,ml MLI,"MF,DF",Reims,fr Ligue 1,17,2006,6,171,0,0,0,0,0,0,33.3,4,3
1637,Aarón Martín,es ESP,DF,Genoa,it Serie A,27,1997,36,3085,0,8,8,5,0,5,64.7,18,22
1638,Carlos Martín,es ESP,"FW,MF",Alavés,es La Liga,22,2002,26,1333,2,2,4,3,0,0,26.5,36,29
1639,Diego Martín,es ESP,FW,Las Palmas,es La Liga,20,2003,2,40,0,0,0,0,0,0,100,0,0
1640,Gerard Martín,es ESP,DF,Barcelona,es La Liga,22,2002,28,1038,1,3,4,2,0,0,68.8,5,14
1641,Iván Martín,es ESP,MF,Girona,es La Liga,25,1999,32,2039,1,1,2,1,0,0,44.1,19,14
1642,Jon Martin,es ESP,DF,Real Sociedad,es La Liga,18,2006,13,904,0,1,1,2,0,0,66.7,3,4
1643,Jonas Martin,fr FRA,MF,Brest,fr Ligue 1,34,1990,17,496,1,0,1,2,0,0,54.5,5,3
1644,Mario Martín,es ESP,MF,Valladolid,es La Liga,20,2004,30,1748,0,1,1,8,3,0,42.9,28,25
1645,Gabriel Martinelli,br BRA,"FW,MF",Arsenal,eng Premier League,23,2001,33,2290,8,4,12,1,0,0,30.4,16,15
1646,Arnau Martinez,es ESP,"DF,MF",Girona,es La Liga,21,2003,32,2624,2,2,4,3,0,0,50.8,31,12
1647,Emiliano Martínez,ar ARG,GK,Aston Villa,eng Premier League,31,1992,37,3194,0,0,0,5,1,0,100,0,1
1648,Iñigo Martínez,es ESP,DF,Barcelona,es La Liga,33,1991,28,2490,0,4,4,5,0,0,72.7,6,11
1649,Javi Martínez,es ESP,MF,Osasuna,es La Liga,24,1999,1,6,0,0,0,0,0,0,,0,0
1650,Josep Martinez,es ESP,GK,Inter,it Serie A,26,1998,5,450,0,0,0,0,0,0,,0,0
1651,Lautaro Martínez,ar ARG,FW,Inter,it Serie A,26,1997,30,2474,12,3,15,1,0,0,52,12,18
1652,Lisandro Martínez,ar ARG,DF,Manchester Utd,eng Premier League,26,1998,20,1751,2,1,3,7,0,0,58.3,15,14
1653,Lucas Martínez Quarta,ar ARG,DF,Fiorentina,it Serie A,28,1996,8,351,1,0,1,1,0,0,61.5,5,3
1654,Ramón Martínez,es ESP,DF,Sevilla,es La Liga,21,2002,5,261,1,0,1,0,0,0,60,2,1
1655,Toni Martínez,es ESP,FW,Alavés,es La Liga,27,1997,28,1012,4,0,4,1,0,0,50,4,6
1656,Kevin Martins,it ITA,"MF,DF",Monza,it Serie A,19,2005,9,183,0,1,1,1,0,0,50,3,1
1657,Javi Martón,es ESP,"FW,MF",Athletic Club,es La Liga,25,1999,3,53,0,0,0,1,0,0,,0,0
1658,Adam Marušić,me MNE,DF,Lazio,it Serie A,31,1992,35,2337,4,0,4,1,0,0,60,12,10
1659,Marvin,es ESP,"DF,FW",Las Palmas,es La Liga,24,2000,23,1038,0,0,0,4,0,0,42.3,15,11
1660,Omar Mascarell,gq EQG,MF,Mallorca,es La Liga,31,1993,32,1992,1,0,1,5,1,0,40,21,12
1661,Adam Masina,ma MAR,DF,Torino,it Serie A,30,1994,28,1919,1,2,3,5,0,0,57.5,17,13
1662,Patrizio Masini,it ITA,MF,Genoa,it Serie A,23,2001,26,1538,1,0,1,3,0,0,47.5,21,18
1663,Giorgos Masouras,gr GRE,"FW,MF",Bochum,de Bundesliga,30,1994,14,1055,2,1,3,1,0,1,43.8,9,8
1664,Erhan Mašović,rs SRB,DF,Bochum,de Bundesliga,25,1998,16,910,1,1,2,2,0,0,46.4,15,6
1665,Han-Noah Massengo,fr FRA,MF,Auxerre,fr Ligue 1,23,2001,17,1046,0,0,0,5,0,0,66.7,4,8
1666,Clinton Mata,ao ANG,DF,Lyon,fr Ligue 1,31,1992,29,2370,0,4,4,6,0,0,77.8,8,9
1667,Jaime Mata,es ESP,"FW,MF",Las Palmas,es La Liga,35,1988,30,656,0,0,0,9,0,0,33.3,6,4
1668,Igor Matanovic,hr CRO,FW,Eint Frankfurt,de Bundesliga,21,2003,16,312,1,0,1,0,0,0,0,1,3
1669,Pape Matar Sarr,sn SEN,MF,Tottenham,eng Premier League,21,2002,36,1913,3,2,5,6,0,0,48,13,16
1670,Eliot Matazo,be BEL,MF,Monaco,fr Ligue 1,22,2002,3,68,0,0,0,0,0,0,,0,0
1671,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,eng Premier League,27,1997,37,2648,14,2,16,2,0,0,18.8,13,15
1672,Nemanja Matić,rs SRB,MF,Lyon,fr Ligue 1,35,1988,29,2010,0,1,1,1,0,0,56.1,18,12
1673,Rudy Matondo,fr FRA,MF,Auxerre,fr Ligue 1,16,2008,5,66,0,0,0,1,0,0,0,1,0
1674,Chrislain Matsima,fr FRA,DF,Augsburg,de Bundesliga,22,2002,30,2551,1,1,2,4,0,0,65.4,9,19
1675,Jean Mattéo Bahoya,fr FRA,"MF,FW",Eint Frankfurt,de Bundesliga,19,2005,24,921,2,3,5,3,0,0,61.5,10,12
1676,Alan Matturro,uy URU,DF,Genoa,it Serie A,19,2004,13,900,0,0,0,2,0,0,21.4,11,7
1677,Azor Matusiwa,nl NED,MF,Rennes,fr Ligue 1,26,1998,29,2078,1,3,4,3,0,0,74.4,11,19
1678,Neal Maupay,fr FRA,FW,Marseille,fr Ligue 1,27,1996,22,1042,4,4,8,3,1,0,50,3,5
1679,Maurides,br BRA,FW,St. Pauli,de Bundesliga,30,1994,1,2,0,0,0,0,0,0,,0,0
1680,Stephy Mavididi,eng ENG,FW,Leicester City,eng Premier League,26,1998,30,1615,4,1,5,2,0,1,33.3,28,24
1681,Konstantinos Mavropanos,gr GRE,DF,West Ham,eng Premier League,26,1997,33,2045,0,0,0,6,1,0,59.3,11,7
1682,Christian Mawissa,fr FRA,DF,Monaco,fr Ligue 1,19,2005,22,1501,0,0,0,3,0,0,59.1,18,19
1683,Keke Maximilian Topp,de GER,"FW,MF",Werder Bremen,de Bundesliga,20,2004,19,252,2,2,4,1,0,0,50,1,0
1684,Borja Mayoral,es ESP,FW,Getafe,es La Liga,27,1997,24,1114,5,1,6,0,0,0,33.3,6,4
1685,Senny Mayulu,fr FRA,MF,Paris S-G,fr Ligue 1,18,2006,20,808,2,2,4,1,0,0,57.1,6,5
1686,Noussair Mazraoui,ma MAR,DF,Manchester Utd,eng Premier League,26,1997,37,2838,0,1,1,3,0,0,62.8,35,27
1687,Andrea Mazza,it ITA,GK,Monza,it Serie A,20,2004,1,8,0,0,0,0,0,0,,0,0
1688,Luca Mazzitelli,it ITA,MF,Como,it Serie A,28,1995,11,335,1,1,2,1,0,0,71.4,2,3
1689,Pasquale Mazzocchi,it ITA,"DF,FW",Napoli,it Serie A,29,1995,20,702,0,0,0,3,0,0,53.3,7,3
1690,Samuel Mbangula,be BEL,FW,Juventus,it Serie A,20,2004,23,709,3,3,6,1,0,0,53.8,6,7
1691,Ethan Mbappé,fr FRA,"MF,FW",Lille,fr Ligue 1,17,2006,10,222,0,0,0,3,0,0,0,4,6
1692,Kylian Mbappé,fr FRA,FW,Real Madrid,es La Liga,25,1998,34,2907,31,3,34,3,1,3,20,4,3
1693,Ibrahim Mbaye,fr FRA,"FW,MF",Paris S-G,fr Ligue 1,16,2008,9,340,1,1,2,0,0,0,37.5,5,2
1694,Bryan Mbeumo,cm CMR,FW,Brentford,eng Premier League,24,1999,38,3414,20,7,27,3,0,6,60,14,23
1695,James Mcatee,eng ENG,"MF,FW",Manchester City,eng Premier League,21,2002,15,349,3,0,3,1,0,0,14.3,6,8
1696,Kasey McAteer,ie IRL,FW,Leicester City,eng Premier League,22,2001,18,852,1,1,2,3,0,0,48.3,15,16
1697,Oliver McBurnie,sct SCO,FW,Las Palmas,es La Liga,28,1996,34,1837,3,6,9,3,0,0,41.7,7,10
1698,Alex McCarthy,eng ENG,GK,Southampton,eng Premier League,34,1989,5,450,0,0,0,0,0,0,,0,0
1699,John McGinn,sct SCO,"MF,FW",Aston Villa,eng Premier League,29,1994,34,2223,1,4,5,7,0,1,41.9,18,20
1700,Scott McKenna,sct SCO,DF,Las Palmas,es La Liga,27,1996,29,2466,0,0,0,5,1,0,75,3,8
1701,Weston McKennie,us USA,"MF,DF",Juventus,it Serie A,25,1998,32,2310,2,4,6,3,0,0,59.1,9,20
1702,Mark McKenzie,us USA,DF,Toulouse,fr Ligue 1,25,1999,30,2496,1,1,2,1,1,0,73.3,12,13
1703,Dwight McNeil,eng ENG,"MF,FW",Everton,eng Premier League,24,1999,21,1371,4,6,10,1,0,0,42.9,12,7
1704,Scott McTominay,sct SCO,MF,Manchester Utd,eng Premier League,27,1996,2,19,0,0,0,0,0,0,0,1,0
1705,Scott McTominay,sct SCO,MF,Napoli,it Serie A,27,1996,34,2938,12,4,16,3,0,2,50,18,17
1706,Jakov Medić,hr CRO,DF,Bochum,de Bundesliga,25,1998,23,1603,1,0,1,2,0,0,44.4,10,11
1707,Facundo Medina,ar ARG,DF,Lens,fr Ligue 1,25,1999,29,2543,0,1,1,15,1,0,57.1,18,20
1708,Ben Mee,eng ENG,DF,Brentford,eng Premier League,34,1989,7,183,0,0,0,2,0,0,100,0,0
1709,Jayden Meghoma,eng ENG,DF,Brentford,eng Premier League,18,2006,1,5,0,0,0,0,0,0,,0,0
1710,Henrik Meister,dk DEN,FW,Rennes,fr Ligue 1,20,2003,4,63,1,0,1,0,0,0,,0,4
1711,Bamo Meïté,ci CIV,DF,Montpellier,fr Ligue 1,22,2001,7,424,0,0,0,2,1,0,50,1,0
1712,Bamo Meïté,ci CIV,DF,Marseille,fr Ligue 1,22,2001,3,26,0,0,0,0,0,0,,0,0
1713,Mohamed Meité,fr FRA,FW,Rennes,fr Ligue 1,16,2007,12,544,2,0,2,0,0,0,100,0,1
1714,Mateo Mejía,es ESP,FW,Sevilla,es La Liga,21,2003,1,11,0,0,0,0,0,0,,0,0
1715,Farid El Melali,dz ALG,FW,Angers,fr Ligue 1,27,1997,32,1893,2,3,5,1,0,7,37.1,22,18
1716,Filippo Melegoni,it ITA,"MF,FW",Genoa,it Serie A,25,1999,3,89,0,1,1,0,0,0,0,4,0
1717,Arthur Melo,br BRA,MF,Girona,es La Liga,27,1996,15,941,0,0,0,2,0,1,51.9,13,4
1718,Nuno Mendes,pt POR,DF,Paris S-G,fr Ligue 1,22,2002,24,1676,1,3,4,3,0,1,59,16,17
1719,Brais Méndez,es ESP,MF,Real Sociedad,es La Liga,27,1997,27,1531,3,2,5,4,0,4,37.5,15,13
